"","SPLmean","SPLsd","SPLQ25","SPL50","SPLQ75","SPLMax","SPLMin","lwr.ci(95%)","upr.ci(95%)","Year","Month","Day","Hour","Min","Sec","Site","file"
"X5C8BC578.WAV",85.0746747139246,4.33761980488043,82.37155146897,84.3732907975799,86.2482355126201,110.034603955204,81.1197720540744,84.5407921808157,85.6085572470334,"2019","03","15"," 15","23","08","S01","X5C8BC578.WAV"
"X5C8BC7D0.WAV",84.7673879077547,3.87288284134299,82.2211643176001,84.2075569326757,86.0109449413368,108.788547599977,81.0267520895518,84.2907060880517,85.2440697274576,"2019","03","15"," 15","33","08","S01","X5C8BC7D0.WAV"
"X5C8BCA28.WAV",87.5121860304756,6.09291616406762,84.2785897811107,86.1343913662281,87.4396281397816,118.574753094765,82.777538559772,86.7622582677814,88.2621137931699,"2019","03","15"," 15","43","08","S01","X5C8BCA28.WAV"
"X5C8BCC80.WAV",84.7742747139618,3.79074257359013,82.003276256671,84.4602740083768,86.3325503961393,111.574021494273,81.0759478172818,84.3077028753524,85.2408465525713,"2019","03","15"," 15","53","08","S01","X5C8BCC80.WAV"
"X5C8BCED8.WAV",85.2740036259381,4.51382874822765,82.1773639573167,84.5943024536397,86.4200986846445,113.223018635051,81.134076414841,84.7184329594146,85.8295742924617,"2019","03","15"," 16","03","08","S01","X5C8BCED8.WAV"
"X5C8BD130.WAV",85.9120756992064,3.60766038965764,83.5222882317806,85.5956704764906,86.9049140464717,108.250143093938,82.419452703865,85.468037965595,86.3561134328177,"2019","03","15"," 16","13","08","S01","X5C8BD130.WAV"
"X5C8BD388.WAV",86.1375544296779,4.46984859381892,82.6257664860217,85.8837678186081,88.3823514324768,112.59910143495,81.3787336941085,85.5873969245881,86.6877119347676,"2019","03","15"," 16","23","08","S01","X5C8BD388.WAV"
"X5C8BD5E0.WAV",85.9887178173119,3.76311272695243,83.6173700328152,85.6378048632648,86.7430751763502,107.598514947331,81.6937081003426,85.5255467130166,86.4518889216071,"2019","03","15"," 16","33","08","S01","X5C8BD5E0.WAV"
"X5C8BD838.WAV",89.5866179987211,5.92194888645694,86.4303839802849,88.209768781494,89.2775868127014,118.341915830249,84.2359893813665,88.857733215208,90.3155027822343,"2019","03","15"," 16","43","08","S01","X5C8BD838.WAV"
"X5C8BDA90.WAV",90.1394482423452,4.73226694456539,87.2417150731715,89.3156279855075,90.8134258769104,118.20651652052,86.069123103191,89.556991785265,90.7219046994254,"2019","03","15"," 16","53","08","S01","X5C8BDA90.WAV"
"X5C8BDCE8.WAV",85.533801522661,4.19341557026781,83.0206834807317,84.8961016840187,86.3388247220199,112.188706785146,81.9272071784866,85.0176679222672,86.0499351230549,"2019","03","15"," 17","03","08","S01","X5C8BDCE8.WAV"
"X5C8BDF40.WAV",87.0371510263959,3.83119811365534,84.6749380498048,86.4173570675943,87.9102633119827,111.983484300576,83.6267839778858,86.5655998426202,87.5087022101715,"2019","03","15"," 17","13","08","S01","X5C8BDF40.WAV"
"X5C8BE198.WAV",85.5636287815305,3.88146282698831,83.0972133858332,85.3407233228762,86.4360553417036,109.452555069963,82.1266413882734,85.0858909208013,86.0413666422597,"2019","03","15"," 17","23","08","S01","X5C8BE198.WAV"
"X5C8BE3F0.WAV",85.7994033604039,5.86447135524421,82.4854694101144,84.6799499133961,86.4286601305821,120.292490188654,81.5012252416219,85.0775930212499,86.5212136995579,"2019","03","15"," 17","33","08","S01","X5C8BE3F0.WAV"
"X5C8BE648.WAV",84.176797869937,3.34166018853432,81.8500492193634,83.5931373130353,85.6058847569839,106.021588177344,81.0000786723636,83.765499949304,84.5880957905699,"2019","03","15"," 17","43","08","S01","X5C8BE648.WAV"
"X5C8BE8A0.WAV",84.2930908240804,3.86145947402427,81.8547424568456,83.3694516189825,85.5568101354161,110.804570211756,80.9995160073207,83.8178150142527,84.7683666339081,"2019","03","15"," 17","53","08","S01","X5C8BE8A0.WAV"
"X5C8BEAF8.WAV",87.4352436069352,5.5235746997078,83.0086770277132,86.5792165327454,90.8342339434993,111.447018634541,81.2342818448072,86.7553914794671,88.1150957344033,"2019","03","15"," 18","03","08","S01","X5C8BEAF8.WAV"
"X5C8BED50.WAV",84.6458725429752,3.82144599817429,81.7746509330213,84.1295165049064,86.5877252279693,108.948209485211,80.8317847917666,84.1755216682054,85.1162234177448,"2019","03","15"," 18","13","08","S01","X5C8BED50.WAV"
"X5C8BEFA8.WAV",84.3689929252089,3.55572399923119,82.0242501225181,83.9642674884685,85.4057322531463,108.374803180633,80.8616988217577,83.9313476217617,84.806638228656,"2019","03","15"," 18","23","08","S01","X5C8BEFA8.WAV"
"X5C8BF200.WAV",84.2383529665558,3.62286646005821,81.8930254427064,83.8655030183958,85.1503583131304,108.502283421493,80.855368092038,83.7924436407466,84.684262292365,"2019","03","15"," 18","33","08","S01","X5C8BF200.WAV"
"X5C8BF458.WAV",84.7623768162018,4.1792319312273,82.1662330251243,84.0867577811784,85.433927450154,109.848374846722,81.1206852495919,84.2479889652005,85.276764667203,"2019","03","15"," 18","43","08","S01","X5C8BF458.WAV"
"X5C8BF6B0.WAV",85.7232126669463,4.78585981744846,82.9983917380621,84.7749893407151,86.0076210203759,110.041548325946,81.6691881081062,85.1341598966763,86.3122654372164,"2019","03","15"," 18","53","08","S01","X5C8BF6B0.WAV"
