Site,F01,F12,F23,F34,F45,F56,F67,F78,F89,F910,F1011,F1112,F1213,F1314,F1415,F15,Sites,Site,Year,Month,Day,Hour,Rep,Sites
99,812,853,2437,1063,0,1,1,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,13,3,CE01_20170909_130000.wav2
100,540,973,2895,758,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,13,4,CE01_20170909_130000.wav3
101,462,576,2024,757,1347,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,13,5,CE01_20170909_130000.wav4
102,167,721,4053,225,0,1,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,13,6,CE01_20170909_130000.wav5
103,0,546,4477,137,0,0,0,7,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,14,1,CE01_20170909_140000.wav
104,4,690,4194,134,0,0,0,145,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,14,2,CE01_20170909_140000.wav1
105,0,925,3907,200,0,0,0,134,1,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,14,3,CE01_20170909_140000.wav2
106,0,528,4516,120,0,0,0,3,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,14,4,CE01_20170909_140000.wav3
107,0,527,4563,77,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,14,5,CE01_20170909_140000.wav4
108,2,596,4479,90,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,14,6,CE01_20170909_140000.wav5
109,81,3,0,5083,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,18,1,CE01_20170909_180000.wav
110,28,151,151,4836,1,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,18,2,CE01_20170909_180000.wav1
111,2,44,75,5040,6,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,18,3,CE01_20170909_180000.wav2
112,153,63,616,4319,0,0,0,1,14,1,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,18,4,CE01_20170909_180000.wav3
113,32,87,195,4850,1,0,1,0,0,1,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,18,5,CE01_20170909_180000.wav4
114,0,31,0,5132,3,0,0,0,0,1,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,18,6,CE01_20170909_180000.wav5
115,3,945,3780,239,0,27,8,50,115,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,19,1,CE01_20170909_190000.wav
116,2,892,3529,493,0,45,37,28,141,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,19,2,CE01_20170909_190000.wav1
